frame,timestamp,plate,yolo_confidence,ocr_confidence,final_confidence,x1,y1,x2,y2
220,3.667,KEEA,0.3817,0.0463,0.1224,1302,1290,1479,1350
225,3.75,GXISOGJ,0.569,0.4799,0.6656,1182,1857,1410,1932
225,3.75,KSZI,0.5655,0.3884,0.3619,1296,1296,1473,1362
225,3.75,A805WJE0,0.542,0.1677,0.3874,2223,1422,2385,1494
230,3.833,GXISOGJ,0.5699,0.6866,0.6629,1161,1875,1368,1944
230,3.833,L0SJLO,0.4326,0.0618,0.2233,2229,1431,2427,1506
230,3.833,K4S,0.3868,0.2194,0.2736,1299,1299,1461,1362
235,3.917,A05JEQ,0.6702,0.3195,0.4337,2232,1437,2424,1515
235,3.917,GXISOCJ,0.6379,0.4378,0.6002,1155,1899,1362,1977
240,4.0,GXISOGJ,0.606,0.8338,0.6679,1146,1923,1356,1992
240,4.0,AP05NJEQ,0.3593,0.6082,0.7257,2235,1458,2391,1524
245,4.083,AP05NEQ,0.5434,0.3909,0.5136,2238,1467,2439,1542
245,4.083,GXIS0GJ,0.4515,0.6659,0.6556,1137,1941,1356,2016
250,4.167,GXISOGJ,0.5371,0.7908,0.6703,1125,1965,1341,2043
250,4.167,QA,0.5179,0.2051,0.2336,1287,1341,1449,1407
250,4.167,AP05JEQ,0.3683,0.4936,0.4721,2241,1476,2415,1545
255,4.25,AP05EJEQ,0.7173,0.281,0.4967,2235,1485,2418,1554
255,4.25,DI5Z,0.397,0.1114,0.228,1275,1347,1443,1410
260,4.333,AP05LJEQ,0.5893,0.1721,0.4205,2232,1485,2430,1566
260,4.333,L5Z,0.4895,0.1876,0.2513,1269,1362,1443,1416
260,4.333,GXISOGJ,0.4039,0.8219,0.6738,1110,2010,1332,2091
265,4.417,AP05NJEQI,0.5248,0.0744,0.3521,2241,1512,2427,1584
265,4.417,LCV,0.4507,0.2032,0.2323,2496,1998,2748,2106
265,4.417,R5A,0.4204,0.0706,0.1694,1257,1371,1437,1437
265,4.417,GXIS0GJ,0.3537,0.909,0.6768,1104,2049,1320,2118
270,4.5,GXISOCJ,0.5842,0.5647,0.5865,1086,2070,1305,2145
270,4.5,LCV,0.5573,0.717,0.4121,2490,2031,2757,2121
270,4.5,K52X,0.5191,0.2284,0.3099,1248,1383,1428,1443
275,4.583,F0527,0.6379,0.1864,0.2805,1245,1386,1434,1452
275,4.583,AP05EJEO,0.637,0.1273,0.3891,2250,1527,2472,1605
275,4.583,LHJVCV,0.5629,0.1573,0.2601,2505,2061,2757,2151
275,4.583,LHJVCV,0.5345,0.994,0.553,2496,2025,2769,2154
280,4.667,KX,0.6684,0.2145,0.2402,1236,1392,1425,1458
280,4.667,APOSEJEO,0.6375,0.2278,0.3694,2253,1536,2466,1620
280,4.667,LENC,0.3763,0.1931,0.2252,2511,2073,2766,2160
285,4.75,AP05JEO,0.5479,0.6567,0.6997,2262,1557,2454,1626
285,4.75,KHOSEZ,0.4037,0.3085,0.366,1245,1410,1416,1470
290,4.833,KHOSZZK,0.4098,0.3455,0.3918,1224,1416,1407,1485
290,4.833,AP05JEO,0.3647,0.6759,0.7064,2256,1566,2460,1638
295,4.917,AP05JE0,0.6601,0.4582,0.5608,2262,1575,2466,1650
295,4.917,COSZZK,0.6255,0.4895,0.4926,1230,1431,1410,1500
300,5.0,LSZZK,0.6549,0.1945,0.2262,1221,1437,1407,1506
300,5.0,A05UJEO,0.5226,0.1719,0.3303,2265,1593,2469,1671
305,5.083,AP0SJE0,0.6284,0.6579,0.6705,2268,1608,2478,1683
305,5.083,EZX,0.6209,0.2819,0.2873,1230,1452,1395,1512
310,5.167,AP05JEO,0.657,0.5814,0.6866,2274,1617,2478,1695
310,5.167,KHSZZK,0.5425,0.3172,0.3721,1209,1464,1395,1533
315,5.25,AP05EJ80,0.7116,0.1968,0.4377,2277,1626,2478,1704
315,5.25,KOSZZ,0.5395,0.2313,0.2519,1200,1473,1395,1542
320,5.333,AP05EJEO,0.71,0.2149,0.4198,2280,1644,2475,1719
320,5.333,CESZK,0.7083,0.1006,0.1604,1197,1482,1392,1551
325,5.417,KO5ZZK,0.7427,0.2778,0.4045,1188,1491,1386,1560
330,5.5,AP05NJE0,0.702,0.6918,0.7842,2280,1674,2508,1758
330,5.5,HESZX,0.5203,0.1538,0.1976,1185,1509,1389,1578
335,5.583,AP05J60,0.7242,0.3422,0.4795,2292,1695,2499,1773
335,5.583,KRUSZZK,0.6564,0.2448,0.3213,1185,1515,1383,1587
340,5.667,DK,0.7025,0.2065,0.2346,1188,1530,1383,1596
345,5.75,DA,0.7714,0.215,0.2405,1182,1539,1374,1608
345,5.75,AR05JJEO,0.7625,0.3318,0.5323,2292,1719,2517,1803
350,5.833,AP05NEQ,0.6548,0.1289,0.4219,2307,1740,2511,1818
350,5.833,05,0.5672,0.6572,0.55,1179,1560,1377,1626
355,5.917,K052I,0.5851,0.1188,0.2332,1170,1572,1359,1641
355,5.917,A205JEO,0.5642,0.2601,0.3921,2301,1764,2526,1848
360,6.0,K052ZK,0.7019,0.4149,0.5004,1161,1581,1362,1653
360,6.0,AP05JEQ,0.6095,0.3661,0.4801,2313,1773,2520,1848
365,6.083,KOZU,0.6809,0.1086,0.166,1161,1599,1353,1671
365,6.083,AP05NJLO,0.6653,0.1639,0.4147,2316,1791,2538,1866
370,6.167,AP05JJE0,0.7162,0.3509,0.5456,2322,1806,2562,1887
370,6.167,RHOSZZK,0.6296,0.5407,0.5285,1149,1614,1353,1683
375,6.25,KHOSZZK,0.7858,0.7423,0.5307,1140,1626,1350,1695
375,6.25,AP05EJEQ,0.717,0.3487,0.5204,2322,1821,2568,1911
380,6.333,KNQSZZK,0.7543,0.358,0.4006,1140,1638,1341,1704
380,6.333,AP0SUJEO,0.6177,0.2573,0.4501,2328,1845,2577,1923
385,6.417,APOSJEO,0.6821,0.4626,0.4738,2328,1863,2580,1944
385,6.417,KHOSZZK,0.5759,0.64,0.5531,1137,1665,1335,1731
390,6.5,KHEZK,0.7587,0.7103,0.5872,1131,1674,1335,1749
390,6.5,AP0SJEQ,0.6294,0.3346,0.4442,2343,1881,2577,1962
395,6.583,LP05U60,0.6789,0.1589,0.3512,2346,1902,2577,1995
395,6.583,KHO52I,0.5753,0.0719,0.2903,1116,1689,1317,1758
400,6.667,KNOEZZK,0.6576,0.3061,0.3643,1107,1707,1311,1779
400,6.667,AP05JEQ,0.5843,0.4776,0.5037,2361,1917,2568,1998
400,6.667,AP05JE0,0.384,0.5937,0.6082,2346,1902,2583,2013
405,6.75,KNOSZZK,0.7451,0.189,0.2823,1095,1722,1308,1791
405,6.75,4205UJE0,0.455,0.3943,0.546,2355,1938,2601,2010
410,6.833,KISK,0.8293,0.3719,0.3503,1089,1731,1299,1800
410,6.833,A205UJEQ,0.6757,0.161,0.3827,2367,1959,2622,2040
415,6.917,KHOSZZK,0.6666,0.9835,0.6245,1083,1755,1296,1830
415,6.917,A215KJEQ,0.5384,0.1454,0.3718,2370,1989,2625,2064
420,7.0,HOSZ,0.8165,0.2005,0.2303,1071,1773,1290,1845
420,7.0,AP05JEQ,0.5916,0.4547,0.5146,2379,2004,2610,2076
425,7.083,KHOSZZK,0.7593,0.2786,0.5686,1068,1785,1275,1863
425,7.083,AP05JEO,0.5566,0.4889,0.6605,2388,2019,2625,2100
430,7.167,KROSZZK,0.7061,0.3078,0.3654,1050,1803,1266,1878
430,7.167,AP05JEO,0.5829,0.7411,0.6802,2397,2052,2664,2127
435,7.25,CHOSZZK,0.7614,0.2038,0.2927,1041,1821,1260,1893
435,7.25,AP05JE0,0.479,0.5461,0.6129,2400,2070,2676,2145
440,7.333,EHOEZK,0.5776,0.221,0.3047,1038,1845,1251,1920
445,7.417,HOSZ,0.7392,0.1561,0.2148,1023,1869,1245,1941
450,7.5,KH05Z76,0.7183,0.1,0.31,1017,1881,1233,1962
455,7.583,K40S24K,0.7764,0.2011,0.3508,1005,1899,1227,1977
460,7.667,LWZL,0.6363,0.1085,0.1659,999,1920,1215,1995
460,7.667,VR0ZKD,0.3612,0.1183,0.2928,2454,1671,2643,1740
465,7.75,KH05ZZK,0.54,0.5263,0.6084,987,1950,1209,2019
470,7.833,KHDSZZK,0.7465,0.5976,0.5683,975,1962,1209,2037
470,7.833,DT,0.4341,0.1731,0.2112,2460,1692,2652,1767
475,7.917,COSIZK,0.6105,0.3358,0.3851,963,1989,1194,2070
475,7.917,UR02FKD,0.5115,0.3194,0.4636,2472,1716,2664,1794
480,8.0,KOSZZK,0.7296,0.1506,0.2554,954,2010,1194,2088
480,8.0,IQD,0.5515,0.1713,0.2099,2475,1725,2664,1806
485,8.083,KH05ZIK,0.6073,0.495,0.5865,945,2031,1179,2112
485,8.083,WROZFKD,0.3513,0.3101,0.3671,2475,1737,2679,1821
490,8.167,M5,0.6952,0.2102,0.2671,939,2052,1176,2133
490,8.167,WR02FKD,0.5641,0.7278,0.7495,2475,1767,2682,1839
495,8.25,KN05ZZK,0.6025,0.498,0.5886,933,2073,1158,2154
495,8.25,WRO2FKD,0.5566,0.3521,0.4565,2478,1779,2682,1851
500,8.333,LOXD,0.4207,0.1504,0.1953,2481,1797,2688,1881
505,8.417,LOXO,0.5224,0.1493,0.1945,2478,1824,2694,1893
510,8.5,LO2FK0,0.6307,0.213,0.3591,2490,1842,2691,1926
515,8.583,LO2E,0.6057,0.3952,0.4266,2490,1866,2703,1935
515,8.583,EY6IBG,0.5219,0.223,0.3661,2520,1437,2694,1506
520,8.667,L2ED,0.5151,0.2879,0.3215,2499,1875,2715,1947
525,8.75,LOE,0.4872,0.1526,0.1968,2508,1905,2724,1974
530,8.833,WRO2FK,0.6178,0.3181,0.4327,2508,1917,2730,1992
535,8.917,LT,0.5059,0.1766,0.2136,2520,1941,2733,2022
535,8.917,E76INBG,0.4058,0.1179,0.2925,2547,1479,2697,1542
540,9.0,WROZFKD,0.6044,0.3087,0.3666,2526,1968,2742,2043
545,9.083,IOFW,0.5146,0.1457,0.192,2535,1983,2751,2073
545,9.083,,0.4119,0.0,0.4119,2547,1473,2682,1542
545,9.083,,0.4098,0.0,0.4098,2547,1491,2697,1557
545,9.083,JIAZHY,0.3614,0.7189,0.6533,1176,1875,1332,1950
550,9.167,FIAZHY,0.6104,0.6009,0.5707,1116,1884,1317,1962
550,9.167,IOW,0.5737,0.5021,0.4414,2541,2013,2766,2085
555,9.25,EGINBG,0.5876,0.7505,0.6754,2556,1521,2727,1590
555,9.25,FJIAZHY,0.5247,0.3695,0.4086,1110,1908,1305,1974
555,9.25,UROZFKD,0.3917,0.7576,0.6803,2553,2031,2772,2103
560,9.333,FJAZHY,0.685,0.1715,0.2701,1089,1920,1305,1998
560,9.333,WROZFKD,0.6004,0.7671,0.4734,2562,2061,2787,2136
560,9.333,EY6INB,0.3945,0.583,0.6181,2550,1527,2688,1593
560,9.333,EY61FEG,0.3511,0.3158,0.461,2550,1533,2724,1599
565,9.417,FJKAZHY,0.6198,0.1909,0.2837,1080,1947,1302,2022
565,9.417,EYGINBG,0.3732,0.9582,0.8207,2556,1545,2727,1611
570,9.5,RJAZHY,0.7951,0.4952,0.4966,1068,1962,1299,2043
570,9.5,EY6INBG,0.491,0.6233,0.6463,2562,1572,2745,1638
575,9.583,EY6INBG,0.6663,0.4994,0.603,2568,1584,2742,1644
575,9.583,FJAZHY,0.5715,0.9296,0.5354,1071,1989,1290,2064
580,9.667,FJIAZHY,0.7,0.6951,0.5226,1065,2007,1287,2085
580,9.667,EYGINBG,0.4749,0.6792,0.7231,2568,1596,2739,1653
585,9.75,FJAZHY,0.6148,0.6622,0.5614,1056,2025,1272,2103
585,9.75,EYGINBG,0.3802,0.8913,0.74,2574,1605,2742,1662
590,9.833,FJAZHY,0.6633,0.4007,0.5287,1041,2052,1266,2127
590,9.833,EXGINBG,0.3956,0.428,0.4496,2568,1626,2760,1686
595,9.917,FISZHY,0.6182,0.4349,0.4544,1032,2076,1251,2154
595,9.917,EYGINBG,0.5166,0.7419,0.7223,2574,1629,2775,1704
600,10.0,FZH,0.4657,0.9083,0.7258,1032,2103,1242,2160
605,10.083,EYGINBG,0.5148,0.4118,0.6655,2586,1665,2775,1731
610,10.167,EYGINBG,0.6536,0.7413,0.6661,2580,1674,2781,1746
615,10.25,EYGINBG,0.5945,0.6788,0.6602,2589,1689,2781,1755
615,10.25,EGLNBG,0.5043,0.8659,0.7561,2589,1656,2781,1755
