frame,timestamp,plate,yolo_confidence,ocr_confidence,final_confidence,x1,y1,x2,y2
1015,16.917,MSAKGJ,0.5214,0.1552,0.3952,984,1980,1197,2049
1015,16.917,,0.488,0.0,0.488,2412,1827,3150,2103
1020,17.0,AKBADHV,0.5602,0.2106,0.3987,1191,1554,1392,1620
1020,17.0,,0.5039,0.0,0.5039,2421,1824,3162,2118
1025,17.083,AK64DH,0.5543,0.123,0.3261,1188,1560,1389,1629
1030,17.167,LKBIDHV,0.6644,0.0981,0.2187,1185,1575,1392,1638
1030,17.167,NSSAKGJ,0.3739,0.101,0.2207,975,2031,1191,2097
1035,17.25,LKBADHY,0.7437,0.056,0.1892,1173,1581,1383,1656
1035,17.25,NGKUJ,0.4269,0.1716,0.2101,969,2055,1194,2121
1040,17.333,AKBADHV,0.7163,0.1699,0.3663,1182,1593,1371,1665
1040,17.333,WEKCD,0.3797,0.1445,0.1912,969,2061,1191,2139
1045,17.417,KKEADHV,0.6125,0.3916,0.4241,1161,1608,1362,1680
1050,17.5,AKBADLV,0.6061,0.3153,0.3727,1158,1623,1353,1686
1055,17.583,AK6ADLV,0.7253,0.2522,0.3866,1146,1629,1359,1701
1060,17.667,4K64DHV,0.6704,0.4624,0.5336,1146,1647,1353,1716
1065,17.75,LKEAOHV,0.6385,0.1859,0.2801,1137,1656,1365,1731
1065,17.75,E0DZ,0.444,0.4131,0.4091,2496,1530,2682,1593
1070,17.833,AKEADNV,0.7647,0.2206,0.3044,1140,1665,1344,1737
1075,17.917,AK64DL,0.8785,0.0863,0.3004,1131,1680,1341,1755
1075,17.917,EFODZI,0.7676,0.1779,0.2745,2496,1545,2685,1608
1080,18.0,KKEADIV,0.7087,0.1432,0.2502,1137,1698,1341,1770
1080,18.0,EFODZL,0.6285,0.3995,0.4297,2502,1557,2682,1620
1085,18.083,AKEADL,0.7332,0.0551,0.1886,1125,1701,1344,1785
1085,18.083,EF0DZT,0.6471,0.1226,0.2958,2502,1566,2682,1635
1090,18.167,AKBADLV,0.7708,0.3152,0.372,1122,1719,1335,1791
1090,18.167,EF0DZT,0.6367,0.2615,0.3444,2508,1578,2691,1641
1095,18.25,DHY,0.7724,0.6503,0.5452,1104,1728,1320,1800
1095,18.25,EFL0DZT,0.7006,0.1484,0.3139,2517,1584,2697,1653
1100,18.333,EFIQ0ZT,0.7433,0.0988,0.2791,2514,1590,2697,1659
1100,18.333,4K6,0.7412,0.3646,0.3752,1113,1749,1317,1818
1105,18.417,AK6ADHV,0.7748,0.109,0.2863,1098,1761,1311,1833
1105,18.417,EFODZL,0.6595,0.3511,0.4127,2511,1608,2697,1677
1110,18.5,LKEADNV,0.8573,0.0988,0.2192,1092,1773,1311,1848
1110,18.5,EF10DZL,0.6332,0.1368,0.3358,2517,1620,2697,1686
1115,18.583,EFODZL,0.7171,0.436,0.4269,2523,1626,2700,1695
1115,18.583,KKBAOLV,0.6803,0.2096,0.2967,1098,1788,1317,1866
1120,18.667,AKBAOLV,0.8033,0.1631,0.2642,1092,1800,1311,1878
1120,18.667,EFODZL,0.6356,0.5941,0.4616,2526,1632,2703,1704
1125,18.75,AKEAOLIV,0.8626,0.2559,0.3891,1086,1821,1305,1893
1125,18.75,EFIQDZT,0.8142,0.1509,0.2557,2529,1647,2703,1719
1130,18.833,AKBADLV,0.8746,0.3015,0.3693,1080,1830,1296,1905
1130,18.833,EFODZL,0.5851,0.2967,0.4409,2526,1662,2724,1734
1130,18.833,AKBADHV,0.4558,0.5944,0.4062,1074,1821,1302,1923
1135,18.917,AKBADLV,0.791,0.1773,0.3502,1071,1848,1293,1923
1135,18.917,EFODZT,0.7685,0.4103,0.4372,2532,1674,2721,1746
1140,19.0,KKSADLV,0.8434,0.0924,0.2147,1071,1866,1296,1941
1140,19.0,EFODZT,0.6339,0.8536,0.5924,2526,1689,2730,1758
1145,19.083,AKBADMV,0.8024,0.2428,0.3199,1062,1881,1293,1950
1145,19.083,EFODZT,0.6261,0.792,0.6297,2535,1701,2721,1764
1145,19.083,LKEADMV,0.3647,0.0482,0.1837,1056,1872,1302,1971
1150,19.167,AKBADMV,0.7629,0.6315,0.456,1059,1890,1290,1974
1150,19.167,EFODZT,0.5805,0.5897,0.613,2532,1713,2733,1782
1155,19.25,LKE4DMV,0.7818,0.1497,0.3148,1053,1908,1278,1986
1155,19.25,EFODZT,0.6546,0.4494,0.5833,2532,1725,2733,1797
1160,19.333,4KE4OIWV,0.8138,0.0688,0.2882,1044,1926,1263,1998
1160,19.333,EFODZU,0.6908,0.4503,0.4652,2532,1740,2733,1806
1160,19.333,AKB4DV,0.4321,0.287,0.4109,1047,1917,1275,2019
1165,19.417,AKEADHV,0.7709,0.4039,0.3656,1050,1941,1269,2022
1165,19.417,EFODZU,0.5764,0.4732,0.4732,2535,1755,2739,1833
1170,19.5,4K64DHV,0.7818,0.1823,0.4356,1032,1965,1263,2037
1170,19.5,EFQDZT,0.76,0.3378,0.3864,2538,1770,2739,1842
1175,19.583,KKE4DMV,0.7138,0.1735,0.3315,1026,1977,1257,2052
1175,19.583,EFODZT,0.5771,0.4657,0.5654,2538,1782,2742,1854
1175,19.583,AKEADHV,0.4449,0.3362,0.3722,1017,1965,1260,2070
1180,19.667,AKBADLV,0.7419,0.0995,0.3285,1026,1995,1251,2073
1180,19.667,EFODZL,0.7242,0.1733,0.4126,2541,1800,2745,1872
1185,19.75,AKBADHV,0.8197,0.328,0.4018,1017,2013,1245,2088
1185,19.75,EFO0ZT,0.7165,0.2444,0.3811,2547,1809,2751,1881
1190,19.833,EFODZT,0.6491,0.2048,0.5265,2541,1821,2751,1899
1190,19.833,LKEAOHV,0.641,0.288,0.3159,1014,2028,1245,2106
1195,19.917,EF0DZT,0.6996,0.629,0.4464,2556,1845,2757,1917
1195,19.917,AKB4DHV,0.6921,0.1618,0.3232,1005,2052,1242,2133
1200,20.0,EF0DZT,0.746,0.6019,0.4926,2559,1857,2760,1929
1200,20.0,LKG4DMV,0.7002,0.1571,0.32,1005,2067,1227,2145
1200,20.0,,0.3502,0.0,0.3502,2364,1101,2490,1164
1205,20.083,EFDZ,0.6851,0.444,0.4008,2559,1875,2772,1950
1205,20.083,AKEADHV,0.5685,0.4111,0.3886,993,2088,1215,2160
1210,20.167,EFIODZ0,0.6764,0.139,0.3073,2565,1893,2772,1962
1210,20.167,AKGAN,0.5693,0.051,0.1257,987,2115,1212,2160
1215,20.25,EFO0ZL,0.7057,0.1227,0.2959,2562,1902,2781,1974
1220,20.333,EFODZL,0.6421,0.807,0.4558,2571,1920,2781,1998
1225,20.417,EFQ0ZI,0.588,0.1495,0.3147,2568,1947,2781,2019
1230,20.5,EFODT,0.8052,0.2177,0.2424,2577,1959,2790,2037
1235,20.583,EFQDZT,0.742,0.1997,0.3381,2583,1974,2799,2055
1240,20.667,EFI0DZT,0.5451,0.3782,0.4748,2577,2001,2796,2067
1240,20.667,,0.3932,0.0,0.3932,3531,1536,3648,1614
1245,20.75,EFI0DZT,0.7831,0.5431,0.5325,2577,2013,2796,2085
1245,20.75,,0.5132,0.0,0.5132,2379,1149,2514,1212
1250,20.833,EFODZT,0.6192,0.4698,0.5206,2583,2031,2799,2103
1250,20.833,DV6Z,0.3964,0.0666,0.1966,3459,1563,3576,1653
1250,20.833,DU6,0.3529,0.1948,0.2864,3459,1575,3609,1665
1255,20.917,EFODZT,0.528,0.614,0.5272,2589,2055,2808,2124
1260,21.0,EFODZL,0.5014,0.3027,0.444,2583,2070,2814,2148
1260,21.0,,0.4404,0.0,0.4404,3495,1578,3591,1665
1265,21.083,,0.4806,0.0,0.4806,2391,1173,2517,1239
1285,21.417,Q,0.573,0.7335,0.4701,2391,1197,2541,1260
1290,21.5,465JKY,0.501,0.6628,0.6739,2442,1698,2634,1761
1300,21.667,AESSUK,0.5149,0.4233,0.4463,2445,1722,2649,1794
1300,21.667,VE,0.3548,0.1111,0.1677,2400,1227,2541,1290
1310,21.833,65UJKV,0.5096,0.2869,0.4108,2457,1749,2646,1815
1315,21.917,465JKV,0.5953,0.3595,0.4617,2454,1767,2652,1833
1315,21.917,O1S,0.402,0.1321,0.2125,3636,1773,3786,1872
1320,22.0,0JBE,0.4527,0.1093,0.1965,2391,1245,2547,1308
1320,22.0,465JKV,0.4379,0.3597,0.4617,2457,1770,2655,1854
1325,22.083,GD,0.5024,0.1145,0.1702,2403,1251,2550,1323
1325,22.083,AF65JKV,0.4737,0.4885,0.582,2463,1791,2676,1863
1330,22.167,GOBEAI,0.5429,0.1639,0.2647,2412,1257,2547,1326
1335,22.25,465UKV,0.7328,0.1562,0.3193,2472,1818,2682,1890
1335,22.25,GPBEPD,0.5566,0.1931,0.2852,2409,1269,2550,1335
1340,22.333,AE65UJKV,0.6273,0.2289,0.4603,2478,1833,2685,1899
1340,22.333,GEEPD,0.4471,0.3821,0.3575,2406,1275,2550,1341
1345,22.417,AF65JKV,0.5772,0.3833,0.5452,2481,1848,2700,1926
1345,22.417,DJDGEPD,0.5724,0.2189,0.3032,2412,1290,2547,1350
1350,22.5,4FBSUKV,0.7476,0.087,0.2409,2481,1863,2700,1938
1350,22.5,DJPGEDD,0.6409,0.0647,0.1953,2406,1290,2547,1359
1355,22.583,A665JKV,0.6213,0.4933,0.5553,2475,1881,2700,1956
1355,22.583,W5ED,0.6064,0.2569,0.2998,2406,1293,2553,1368
1360,22.667,4665UJKV,0.7723,0.7448,0.7914,2493,1893,2709,1971
1360,22.667,GJGED,0.5522,0.4716,0.4201,2412,1299,2553,1371
1365,22.75,4665JKV,0.683,0.929,0.8603,2505,1914,2724,1977
1365,22.75,GJOED,0.594,0.2249,0.2474,2427,1314,2556,1380
1370,22.833,4665JKV,0.6531,0.8241,0.8236,2505,1920,2736,2001
1370,22.833,QJOEEPD,0.4905,0.2148,0.3004,2424,1326,2556,1386
1375,22.917,465JKV,0.6838,0.8992,0.5876,2505,1944,2739,2019
1375,22.917,GPBEPD,0.4168,0.2042,0.289,2424,1332,2556,1392
1380,23.0,465JKV,0.8085,0.9134,0.6531,2517,1959,2745,2034
1380,23.0,GDBERD,0.4661,0.1252,0.2376,2427,1341,2580,1401
1385,23.083,A665JKV,0.5047,0.3957,0.5211,2517,1971,2751,2052
1385,23.083,GBERD,0.418,0.3015,0.301,2427,1341,2577,1404
1390,23.167,QOBERD,0.6719,0.1231,0.2362,2427,1344,2586,1410
1390,23.167,A665JKV,0.6203,0.3125,0.4903,2523,1989,2742,2070
1395,23.25,4F65UKV,0.7268,0.1114,0.288,2529,2007,2754,2082
1395,23.25,GJOBERD,0.5921,0.3068,0.3647,2430,1356,2574,1425
1400,23.333,GOBERD,0.6144,0.3764,0.4135,2430,1362,2577,1434
1400,23.333,LE5K,0.4733,0.1515,0.2561,2529,2022,2757,2103
1405,23.417,GOBERD,0.6052,0.4731,0.4473,2433,1371,2580,1440
1405,23.417,LE5JKY,0.4602,0.1295,0.3007,2544,2049,2769,2118
1405,23.417,GOBERD,0.3912,0.1355,0.3798,2424,1359,2595,1446
1410,23.5,G0BEPD,0.7041,0.2994,0.3896,2421,1380,2598,1452
1410,23.5,4665JKI,0.5242,0.1572,0.32,2550,2061,2778,2139
1415,23.583,GJ06EPD,0.7263,0.396,0.5172,2439,1386,2598,1455
1415,23.583,L65JKI,0.465,0.1601,0.3221,2550,2079,2781,2154
1420,23.667,G06EFD,0.7981,0.1833,0.3383,2439,1389,2601,1461
1425,23.75,G0BEPD,0.7505,0.3541,0.4087,2439,1401,2601,1479
1430,23.833,G0BEPD,0.582,0.2981,0.402,2442,1413,2595,1482
1435,23.917,GJOBEPD,0.4945,0.3587,0.4011,2445,1422,2598,1491
1440,24.0,6JOBEPD,0.5528,0.276,0.3732,2454,1434,2598,1500
1445,24.083,DEPD,0.7988,0.1512,0.1958,2451,1437,2610,1506
1450,24.167,DBD,0.5974,0.5178,0.4525,2454,1449,2610,1518
1455,24.25,6BE21,0.6567,0.148,0.2536,2457,1455,2610,1527
1455,24.25,MHO6KSU,0.3597,0.1973,0.3481,1137,1863,1296,1953
1460,24.333,GJBEPD,0.7483,0.7273,0.6591,2460,1461,2640,1542
1465,24.417,6JO6EPD,0.643,0.4106,0.4674,2457,1482,2634,1548
1465,24.417,LHISZZC,0.5464,0.9839,0.8387,1257,1386,1428,1449
1470,24.5,GJOBERD,0.7473,0.2482,0.3442,2472,1488,2640,1557
1470,24.5,LHISZZC,0.5753,0.8689,0.7985,1242,1386,1434,1461
1470,24.5,KH06KSU,0.5288,0.5284,0.6099,1092,1914,1290,1989
1475,24.583,GJODEPD,0.6395,0.4771,0.484,2469,1497,2634,1575
1480,24.667,DJOBEP,0.7055,0.1105,0.2273,2475,1500,2640,1584
1480,24.667,LHISZZC,0.4552,0.7081,0.7475,1242,1410,1413,1476
1485,24.75,GJOBED,0.6735,0.5591,0.5414,2472,1518,2640,1587
1485,24.75,KH06KSU,0.4691,0.8722,0.7302,1059,1965,1272,2031
1490,24.833,6JOBEPD,0.6217,0.3611,0.403,2472,1527,2646,1596
1495,24.917,6J0BEPD,0.8083,0.1126,0.2588,2481,1533,2655,1608
1495,24.917,LHSZZC,0.6695,0.7023,0.6416,1233,1434,1404,1506
1495,24.917,KH06KSU,0.3731,0.7966,0.7527,1053,2001,1254,2064
1500,25.0,6J06EPD,0.6826,0.2634,0.3944,2481,1545,2643,1620
1500,25.0,KH06KSU,0.5531,0.706,0.7481,1041,2013,1257,2082
1500,25.0,LHSZZC,0.4709,0.5838,0.6001,1236,1437,1410,1515
1505,25.083,LMIZZC,0.6351,0.287,0.3509,1239,1455,1407,1530
1505,25.083,WJD6ERD,0.634,0.1291,0.3004,2484,1554,2658,1632
1510,25.167,GD6ERD,0.7459,0.5452,0.5916,2475,1560,2667,1641
1510,25.167,LNSZZC,0.5406,0.5396,0.5277,1218,1464,1404,1539
1510,25.167,KH06IKSU,0.4095,0.3837,0.5686,1041,2055,1251,2118
1515,25.25,6JO6EPD,0.7543,0.2261,0.4028,2484,1581,2658,1650
1515,25.25,KHOGKS,0.5473,0.5475,0.5333,1029,2067,1248,2148
1520,25.333,006220,0.7518,0.1226,0.2358,2487,1584,2670,1662
1520,25.333,LH522C,0.5994,0.3841,0.5089,1212,1485,1392,1554
1520,25.333,KHDBKSU,0.431,0.2204,0.3043,1026,2088,1239,2154
1525,25.417,GJO6EPD,0.6355,0.4102,0.4971,2487,1599,2670,1680
1525,25.417,LWSZZC,0.6104,0.7638,0.6847,1188,1488,1386,1566
1530,25.5,G6E20,0.6572,0.1418,0.2493,2487,1617,2670,1686
1530,25.5,LHISZZC,0.444,0.6133,0.7055,1200,1506,1383,1575
1535,25.583,GJ0BE20,0.7571,0.3334,0.4734,2496,1626,2682,1695
1535,25.583,LNISZZC,0.5275,0.5253,0.5177,1191,1524,1383,1587
1540,25.667,GJO6E20,0.709,0.4227,0.5359,2487,1635,2682,1707
1540,25.667,LHISZZC,0.4883,0.9902,0.733,1182,1527,1368,1590
1545,25.75,GJO6E20,0.6966,0.2352,0.4703,2505,1644,2682,1722
1545,25.75,LHISZZC,0.6487,0.5909,0.7048,1185,1533,1359,1602
1550,25.833,GJO6ERD,0.7376,0.1955,0.3468,2493,1656,2688,1734
1550,25.833,LNSZZC,0.4979,0.6475,0.5655,1182,1542,1353,1608
1555,25.917,6J06EPD,0.8358,0.8885,0.6132,2493,1674,2688,1746
1555,25.917,LHSZZC,0.572,0.4914,0.5647,1164,1563,1368,1635
1560,26.0,6J06ERD,0.6848,0.6941,0.6959,2496,1680,2697,1761
1560,26.0,LWSZZC,0.4975,0.8995,0.7322,1146,1569,1344,1638
1565,26.083,GJO6ERD,0.7371,0.5308,0.4642,2499,1695,2694,1779
1565,26.083,LNISZZC,0.7099,0.9002,0.6489,1143,1581,1341,1653
1570,26.167,GGRD,0.669,0.3728,0.351,2493,1704,2691,1785
1570,26.167,LMBZZC,0.541,0.3552,0.3986,1152,1593,1335,1659
1575,26.25,GJO6EP0,0.8049,0.1269,0.2988,2502,1725,2697,1797
1575,26.25,LMISZZC,0.5743,0.2611,0.3328,1140,1611,1344,1683
1580,26.333,GJOBEPD,0.7091,0.3929,0.413,2508,1737,2694,1812
1580,26.333,LNSZZC,0.6183,0.6524,0.5792,1137,1617,1332,1683
1580,26.333,D407CL,0.3592,0.3464,0.4525,2469,1323,2622,1398
1585,26.417,GJOBEPD,0.7677,0.2057,0.3734,2505,1755,2700,1836
1585,26.417,LMSZZC,0.6073,0.7263,0.6584,1128,1629,1320,1704
1590,26.5,6J05EPD,0.7623,0.1684,0.3279,2511,1773,2700,1842
1590,26.5,LNISZZC,0.6558,0.5603,0.6134,1134,1641,1311,1716
1595,26.583,6J06ERD,0.7055,0.7533,0.7166,2517,1779,2697,1857
1595,26.583,LNSZZC,0.5372,0.2756,0.5201,1107,1665,1311,1734
1600,26.667,LNISZZC,0.7313,0.5415,0.5923,1104,1671,1296,1746
1600,26.667,6J06EPD,0.7177,0.4974,0.5948,2514,1800,2712,1878
1605,26.75,DJOSEPD,0.7,0.3642,0.405,2520,1803,2712,1884
1605,26.75,LMSZZC,0.5966,0.4964,0.578,1095,1680,1296,1758
1605,26.75,DOACL,0.5597,0.1981,0.2287,2463,1389,2643,1455
1610,26.833,G6ERD,0.6607,0.2682,0.3077,2523,1818,2721,1902
1610,26.833,DOAEI,0.5109,0.068,0.1376,2472,1389,2646,1464
1610,26.833,LNISZZC,0.5041,0.7986,0.6156,1098,1698,1290,1770
1615,26.917,6J06ERD,0.7533,0.114,0.5743,2517,1845,2727,1926
1615,26.917,LNSZZC,0.6825,0.9766,0.5828,1080,1716,1284,1782
1615,26.917,DCLI,0.519,0.4178,0.3824,2466,1401,2643,1470
1620,27.0,606ER0,0.8256,0.1023,0.2816,2523,1851,2730,1935
1620,27.0,LNISZZC,0.7117,0.8673,0.6392,1077,1725,1278,1800
1625,27.083,GJO6ER,0.7105,0.2465,0.3826,2514,1872,2727,1956
1625,27.083,LNISZZC,0.5715,0.8978,0.6591,1071,1734,1254,1806
1630,27.167,GJQ5EPD,0.7137,0.1982,0.3488,2520,1896,2730,1974
1630,27.167,LNSZZC,0.5649,0.9901,0.6262,1056,1752,1260,1830
1630,27.167,MITCLI,0.3769,0.0672,0.1971,2478,1428,2649,1500
1635,27.25,GJ25EPD,0.8123,0.244,0.4108,2526,1899,2733,1983
1635,27.25,LNISZZC,0.7556,0.5732,0.6456,1059,1764,1257,1839
1635,27.25,DOTCLX,0.6026,0.1683,0.2678,2481,1437,2649,1503
1640,27.333,LNISZZC,0.7391,0.7266,0.6471,1044,1776,1248,1857
1640,27.333,DCCA,0.6446,0.0915,0.154,2487,1437,2655,1518
1640,27.333,GJO6EPD,0.5873,0.3703,0.4832,2532,1917,2742,1998
1645,27.417,LNISZZC,0.6366,0.7587,0.6505,1038,1800,1245,1872
1645,27.417,5406EPD,0.6244,0.3228,0.436,2529,1944,2736,2028
1645,27.417,DCA,0.528,0.2776,0.2843,2487,1452,2649,1530
1650,27.5,LNISZZC,0.8254,0.6824,0.6484,1032,1809,1230,1887
1650,27.5,GJ26ERD,0.7782,0.2375,0.4062,2529,1962,2739,2040
1655,27.583,GJO6EPD,0.7394,0.4214,0.4904,2535,1971,2745,2064
1655,27.583,LNSZZC,0.6908,0.7246,0.6306,1011,1824,1215,1902
1655,27.583,DCU,0.6729,0.4535,0.4075,2484,1482,2652,1548
1660,27.667,6J06EPD,0.6549,0.3644,0.5624,2529,1995,2739,2079
1660,27.667,DAOTCLX,0.6125,0.3461,0.3922,2481,1485,2661,1560
1660,27.667,LNSZZC,0.5849,0.9955,0.6577,1017,1845,1215,1917
1665,27.75,LNSZZC,0.6637,0.9746,0.6771,999,1860,1209,1932
1665,27.75,GJ06ERD,0.5792,0.3621,0.4934,2538,2010,2748,2097
1665,27.75,DAOZCL,0.5392,0.2943,0.356,2487,1497,2661,1566
1670,27.833,LNSZZC,0.7427,0.9966,0.6941,990,1872,1200,1959
1670,27.833,GJ06EPD,0.6,0.659,0.6093,2541,2031,2757,2112
1675,27.917,LNSZZC,0.6614,0.9747,0.7067,984,1902,1194,1971
1675,27.917,GJ06EPD,0.6299,0.4476,0.5906,2544,2052,2760,2127
1675,27.917,DOTCLA,0.3645,0.2288,0.3102,2487,1524,2679,1590
1675,27.917,6J06EPD,0.3508,0.2912,0.5327,2538,2040,2769,2142
1680,28.0,LNISZZC,0.8021,0.6489,0.6447,972,1905,1182,1983
1680,28.0,6JO6EPD,0.6226,0.249,0.3867,2547,2070,2763,2151
1680,28.0,MOCL,0.5879,0.3663,0.3464,2484,1530,2673,1596
1685,28.083,LNSZZC,0.6727,0.9983,0.7185,963,1923,1164,1998
1685,28.083,DAOZCLX,0.548,0.5201,0.5141,2490,1533,2682,1605
1690,28.167,DOZCLX,0.6773,0.3154,0.3708,2490,1551,2682,1617
1690,28.167,LNSZZC,0.518,0.9976,0.7285,954,1950,1158,2019
1690,28.167,DJOCL,0.4508,0.1791,0.2154,2484,1530,2691,1620
1695,28.25,LNSZZC,0.8026,0.641,0.7192,945,1959,1170,2037
1695,28.25,DODCLX,0.5955,0.5888,0.5621,2496,1560,2679,1632
1695,28.25,0L0QLS,0.4116,0.0811,0.2368,2346,1194,2496,1254
1700,28.333,DILX,0.7963,0.236,0.2552,2484,1575,2685,1644
1700,28.333,LNSZZC,0.6547,0.9931,0.7276,939,1974,1152,2058
1700,28.333,603S,0.373,0.1287,0.2401,2340,1206,2490,1272
1705,28.417,DOZCLX,0.8439,0.4518,0.4185,2493,1581,2688,1653
1705,28.417,LNSZZC,0.6229,0.9707,0.734,915,1998,1146,2073
1710,28.5,DNOZCLX,0.6533,0.3896,0.4227,2493,1590,2691,1665
1710,28.5,LNSZZC,0.5508,0.9749,0.7398,909,2013,1140,2103
1710,28.5,E409WS,0.4101,0.1786,0.3351,2346,1209,2484,1272
1715,28.583,DJOZCLX,0.7141,0.2914,0.354,2505,1608,2685,1677
1720,28.667,DJZCLX,0.7353,0.4912,0.4938,2496,1623,2694,1692
1720,28.667,LNISZZC,0.6361,0.9602,0.6584,900,2055,1116,2133
1725,28.75,DLOZCLX,0.7735,0.2035,0.2924,2505,1629,2697,1698
1725,28.75,LNSZZC,0.6962,0.9818,0.7452,888,2076,1110,2145
1725,28.75,DOZCLX,0.4674,0.4699,0.4387,2505,1608,2712,1704
1725,28.75,ED9W5,0.4439,0.0907,0.2135,2346,1236,2496,1299
1730,28.833,DOZCLX,0.7192,0.2983,0.4187,2514,1632,2700,1704
1730,28.833,DO9WS,0.5816,0.0739,0.2017,2343,1245,2505,1320
1735,28.917,DAOZCLX,0.7186,0.385,0.4668,2514,1644,2697,1725
1735,28.917,BYO9U5,0.4904,0.1056,0.2839,2340,1251,2499,1317
1740,29.0,DJOZCLX,0.7955,0.2758,0.3485,2508,1668,2700,1740
1740,29.0,E709QS,0.4089,0.1707,0.3295,2343,1257,2481,1323
1745,29.083,DTCLX,0.8542,0.3997,0.3698,2514,1677,2718,1749
1750,29.167,DODCLX,0.7414,0.3359,0.4736,2520,1686,2712,1761
1755,29.25,DOZCLX,0.6879,0.6864,0.4611,2520,1698,2733,1782
1755,29.25,E0909,0.4539,0.14,0.248,2340,1284,2505,1347
1760,29.333,DAOZCLX,0.8291,0.556,0.4909,2523,1719,2727,1791
1760,29.333,HOA,0.7754,0.031,0.1117,2346,1290,2508,1362
1765,29.417,DJOICLX,0.7515,0.2308,0.3116,2529,1728,2730,1809
1765,29.417,EYOMMS,0.7164,0.1166,0.2316,2343,1296,2514,1371
1770,29.5,MOCLX,0.6753,0.3609,0.3426,2538,1746,2730,1821
1770,29.5,EYOMWS,0.5987,0.1516,0.2561,2343,1305,2505,1371
1775,29.583,DJOZCLX,0.8083,0.1343,0.3137,2529,1767,2733,1836
1775,29.583,EYOSS,0.6113,0.1929,0.225,2346,1317,2496,1380
1780,29.667,DOFCLX,0.7836,0.0566,0.1896,2532,1773,2751,1848
1780,29.667,EMI,0.3856,0.7324,0.6027,2331,1323,2508,1389
1785,29.75,DNOZCLX,0.7429,0.2838,0.3857,2544,1794,2739,1866
1785,29.75,DYOB9,0.6146,0.2782,0.3448,2334,1332,2502,1395
1790,29.833,DOZCLX,0.7279,0.6352,0.4833,2541,1809,2751,1884
1790,29.833,YOSS,0.6481,0.5888,0.5021,2340,1338,2505,1401
1790,29.833,ITA,0.5192,0.7085,0.586,1149,1929,1302,1998
1795,29.917,DAODCLX,0.8205,0.4292,0.4504,2541,1821,2760,1896
1795,29.917,BM,0.7606,0.4773,0.4241,2337,1344,2511,1416
1795,29.917,INA,0.3527,0.3017,0.3012,1110,1941,1296,2022
1800,30.0,DAOCLX,0.8235,0.7577,0.6804,2568,1839,2766,1914
1800,30.0,EYOMW5,0.6381,0.1762,0.3333,2340,1353,2505,1422
1805,30.083,MAOZCLX,0.7697,0.1832,0.2782,2559,1854,2775,1929
1805,30.083,EYO9W5,0.6229,0.3031,0.4222,2328,1368,2499,1431
1810,30.167,DAOZCLX,0.8931,0.8814,0.5599,2565,1869,2781,1947
1810,30.167,EY95,0.564,0.6467,0.6327,2319,1374,2505,1446
1810,30.167,50TTA,0.4042,0.1928,0.2849,1092,2007,1269,2085
1815,30.25,MOZCLX,0.8104,0.5509,0.5356,2577,1878,2784,1965
1815,30.25,EBWS,0.6652,0.1909,0.2236,2322,1383,2505,1446
1815,30.25,I50LTNA,0.5908,0.1985,0.349,1086,2028,1254,2097
1820,30.333,EOBWS,0.7559,0.0953,0.1567,2325,1389,2508,1455
1820,30.333,MOACLX,0.7377,0.2775,0.3443,2577,1902,2787,1977
1820,30.333,G0LTA,0.527,0.513,0.4791,1083,2040,1251,2133
1825,30.417,DO7CLX,0.742,0.1799,0.3359,2577,1917,2799,1995
1825,30.417,I60LTNA,0.6676,0.1642,0.325,1071,2067,1251,2151
1825,30.417,EYOMWS,0.605,0.1614,0.2596,2322,1398,2502,1470
1830,30.5,DAOCLX,0.7436,0.6022,0.626,2589,1932,2796,2016
1830,30.5,EYOIU,0.6615,0.0968,0.1578,2322,1410,2496,1479
1835,30.583,MOTCLX,0.7572,0.2385,0.3169,2592,1959,2814,2034
1835,30.583,E9W5,0.4917,0.3158,0.341,2310,1419,2496,1488
1840,30.667,MAOZCLX,0.7997,0.3905,0.3508,2598,1968,2817,2049
1840,30.667,E9W,0.6051,0.657,0.5799,2319,1431,2505,1497
1845,30.75,EYO95,0.7742,0.1766,0.3036,2316,1437,2499,1506
1845,30.75,DAOZCLX,0.7137,0.7006,0.576,2604,1980,2832,2070
1850,30.833,DAOZCLX,0.8342,0.9067,0.6108,2616,2007,2829,2082
1850,30.833,EYOMWS,0.5189,0.2103,0.2721,2307,1449,2499,1515
1855,30.917,DAOZCLX,0.7551,0.9198,0.637,2625,2022,2844,2112
1855,30.917,EMYOSLS,0.3953,0.0701,0.199,2310,1464,2496,1530
1860,31.0,BYO9W5,0.6814,0.2707,0.3995,2310,1467,2502,1542
1860,31.0,DOZLLX,0.5645,0.4785,0.485,2625,2046,2844,2121
1865,31.083,EYO9W5,0.7546,0.0661,0.3392,2304,1482,2496,1545
1865,31.083,MOACLX,0.7358,0.2381,0.3305,2628,2061,2856,2139
1870,31.167,EYO9W5,0.7343,0.1014,0.3198,2304,1488,2499,1560
1870,31.167,DAOZCLX,0.6423,0.5501,0.6242,2637,2076,2865,2154
1875,31.25,E95,0.6305,0.7988,0.7092,2307,1500,2499,1569
1880,31.333,EYOAW5,0.6645,0.2947,0.4163,2301,1509,2502,1584
1885,31.417,LYOSWI,0.7095,0.157,0.2599,2298,1527,2499,1590
1890,31.5,EYO9WLI,0.7783,0.2567,0.3897,2298,1533,2496,1602
1895,31.583,EYOSWS,0.6897,0.2756,0.3429,2298,1545,2496,1611
